f / Hz,I / mA,phi / Â°,UR / V,ULC / V
1045.8,8.829,0.7,0.859,0.134
827.8,3.018,-66.5,0.294,0.926
730.5,1.96,-65.8,0.194,0.953
837.6,3.178,-65,0.313,0.926
940.8,5.372,-49.6,0.531,0.762
1150.03,5.882,49.8,0.583,0.714
1254,3.829,66.3,0.383,0.887
1359,2.737,70.9,0.27,0.955
1466.5,2.173,76,0.217,0.972
1569.6,1.78,78.3,0.175,0.982
1658,1.574,80.2,0.158,0.978
1779,1.347,82.1,0.133,0.991
4219,0.395,88.7,0.04,0.998
7323,0.215,89,0.021,1
10450,0.145,89.5,0.015,1
952.7,5.764,-44.3,0.57,0.721
1141,6.425,44.9,0.633,0.703
1001,7.751,-25.1,0.769,0.472
1076,8.54,15,0.825,0.32
104.6,0.151,-87,0.0158,1
524.4,1.004,-83.2,0.097,1